(No ND)Time (s)	Raw Amp	Log Amp	Prog Amp (1024) 	High Voltage0.031	0.001	0.763	4.054	0.750
0.064	0.017	-0.128	4.132	0.750
0.124	0.015	0.736	3.839	0.750
0.156	0.018	0.807	4.076	0.750
0.189	0.006	-0.115	3.920	0.751
0.224	-0.000	0.364	4.021	0.750
0.257	-0.001	0.209	3.702	0.751
0.289	0.016	-0.133	3.904	0.750
0.320	0.001	-0.119	3.574	0.750
0.353	0.002	0.190	3.708	0.751
0.384	0.001	-0.149	3.659	0.751
0.415	0.002	0.174	3.849	0.750
0.446	0.000	0.894	3.897	0.750
0.478	-0.000	0.035	3.639	0.751
0.509	0.015	0.309	3.596	0.750
0.539	0.000	-0.103	3.439	0.750
0.571	0.007	0.243	3.636	0.750
0.603	0.001	0.369	3.359	0.750
0.634	0.006	0.623	3.377	0.750
0.666	0.010	0.333	3.082	0.750
0.696	0.019	0.689	3.437	0.750
0.730	0.001	0.260	2.967	0.750
0.762	0.017	0.911	3.187	0.750
0.795	0.001	-0.164	3.238	0.750
0.828	0.000	0.189	3.143	0.750
0.862	0.002	0.419	3.179	0.750
0.895	0.017	-0.102	3.209	0.750
0.927	0.000	0.399	3.237	0.750
0.958	0.001	-0.041	3.093	0.750
0.989	0.013	0.168	2.834	0.750
1.020	-0.001	0.699	2.865	0.750
1.051	0.000	-0.148	2.925	0.751
1.082	0.001	-0.135	2.993	0.750
1.114	0.002	0.107	2.952	0.750
1.145	0.001	0.180	2.969	0.750
1.176	-0.001	0.100	2.895	0.750
1.207	0.009	0.318	2.846	0.750
1.240	-0.000	-0.036	2.686	0.750
1.272	-0.000	-0.073	2.858	0.751
1.305	0.004	-0.129	2.924	0.750
1.336	-0.000	0.721	2.807	0.751
1.368	0.001	0.252	2.793	0.750
1.398	0.001	0.366	2.611	0.751
1.426	0.001	0.546	2.836	0.750
1.456	0.002	0.081	2.834	0.750
1.492	0.002	0.094	2.772	0.750
1.523	0.001	0.143	2.697	0.750
1.553	0.004	-0.158	2.720	0.750
1.583	-0.001	0.487	2.583	0.750
1.616	0.013	0.125	2.674	0.750
1.648	-0.001	0.034	2.831	0.750
1.678	0.002	0.510	2.659	0.750
1.708	0.001	-0.146	2.488	0.751
1.738	0.001	0.429	2.485	0.751
1.770	0.001	0.145	2.495	0.750
1.801	0.000	-0.122	2.586	0.751
1.833	0.011	0.304	2.600	0.750
1.864	0.004	0.110	2.711	0.751
1.895	0.001	-0.143	2.437	0.750
1.926	0.001	-0.104	2.351	0.750
1.956	0.002	-0.123	2.568	0.750
1.985	0.001	-0.047	2.365	0.750
2.017	0.002	0.286	2.559	0.750
2.050	0.000	-0.081	2.359	0.750
2.081	0.018	-0.140	2.341	0.750
2.113	0.000	-0.012	2.402	0.750
2.144	0.000	-0.148	2.352	0.750
2.175	0.004	-0.036	2.507	0.750
2.208	0.004	-0.176	2.427	0.750
2.241	0.001	0.380	2.652	0.750
2.273	0.002	0.203	2.584	0.750
2.305	0.002	0.652	2.420	0.750
2.337	0.002	-0.175	2.229	0.750
2.371	0.000	0.091	2.356	0.750
2.404	0.005	0.488	2.395	0.750
2.436	0.001	-0.094	2.192	0.751
2.469	0.002	-0.038	2.330	0.750
2.501	-0.000	0.008	2.431	0.750
2.532	0.001	-0.167	2.303	0.751
2.563	0.002	0.465	2.405	0.750
2.596	0.001	-0.138	2.227	0.750
2.636	0.000	0.199	2.307	0.750
2.669	0.009	0.623	2.329	0.751
2.701	0.002	0.366	2.286	0.750
2.732	0.000	-0.011	2.118	0.750
2.764	-0.000	-0.160	2.201	0.751
2.796	0.006	0.371	2.196	0.750
2.827	0.001	-0.048	2.107	0.750
2.857	-0.000	-0.166	2.002	0.750
2.887	-0.000	0.310	2.176	0.750
2.918	0.001	0.074	2.147	0.750
2.948	0.012	-0.174	2.074	0.750
2.977	0.001	-0.136	2.116	0.750
3.009	0.001	0.461	2.122	0.750
3.041	0.001	-0.122	2.186	0.750
3.074	0.002	-0.183	1.843	0.751
3.107	-0.000	0.212	1.993	0.750
3.140	0.006	0.113	2.014	0.751
3.171	0.003	-0.186	2.025	0.751
3.202	0.001	0.428	1.999	0.750
3.234	0.001	0.175	1.854	0.751
3.265	0.000	-0.157	1.936	0.750
3.299	-0.000	0.032	2.078	0.750
3.330	0.000	-0.150	1.913	0.751
3.362	0.012	-0.113	1.953	0.750
3.396	0.001	0.084	2.024	0.750
3.425	0.001	-0.163	1.922	0.750
3.454	0.001	-0.038	1.718	0.750
3.496	-0.000	0.755	1.916	0.751
3.525	0.001	-0.151	1.988	0.750
3.553	0.004	-0.072	1.869	0.750
3.582	0.022	0.223	1.824	0.750
3.613	0.001	0.173	1.956	0.750
3.645	0.001	-0.154	1.803	0.750
3.676	-0.000	0.553	1.844	0.750
3.708	0.001	-0.183	1.829	0.751
3.742	0.001	0.325	1.880	0.750
3.775	0.001	0.247	1.773	0.750
3.806	-0.000	-0.167	1.862	0.750
3.837	0.001	0.130	1.888	0.750
3.868	0.001	0.200	1.983	0.751
3.900	0.001	0.094	1.878	0.750
3.932	0.009	0.151	1.874	0.750
3.960	0.002	-0.127	1.982	0.750
3.990	0.001	-0.052	1.861	0.750
4.022	0.001	0.229	1.856	0.750
4.054	-0.000	-0.187	1.892	0.750
4.088	0.001	-0.110	1.889	0.750
4.120	0.000	-0.154	1.883	0.751
4.153	0.001	-0.112	1.775	0.751
4.185	0.002	0.143	1.826	0.750
4.216	0.020	-0.174	1.751	0.750
4.248	-0.001	0.332	1.693	0.750
4.279	0.002	0.332	1.853	0.750
4.310	0.007	-0.109	1.877	0.750
4.342	0.001	-0.142	1.802	0.750
